"CubeId";"snbmonagg"
"PublishingDate";"2026-07-21 09:00"

"Date";"D0";"D1";"Value"
"2015-05";"VV";"GM1";"-0.05484789"
"2015-06";"B";"GM1";"568371"
"2015-06";"VV";"GM1";"0.82916886"
"2015-07";"B";"GM1";"570623"
"2015-07";"VV";"GM1";"0.76177493"
"2015-08";"B";"GM1";"572319"
"2015-08";"VV";"GM1";"0.55025853"
"2015-09";"B";"GM1";"569406"
"2015-09";"VV";"GM1";"0.69409936"
"2015-10";"B";"GM1";"554804"
"2015-10";"VV";"GM1";"-2.68150173"
"2015-11";"B";"GM1";"561065"
"2015-11";"VV";"GM1";"-2.82721008"
"2015-12";"B";"GM1";"559266"
"2015-12";"VV";"GM1";"-1.40036565"
"2016-01";"B";"GM1";"561547"
"2016-01";"VV";"GM1";"-0.95316879"
"2016-02";"B";"GM1";"564621"
"2016-02";"VV";"GM1";"-0.57511442"
"2016-03";"B";"GM1";"573737"
"2016-03";"VV";"GM1";"0.15903608"
"2016-04";"B";"GM1";"573611"
"2016-04";"VV";"GM1";"1.24953224"
"2016-05";"B";"GM1";"576485"
"2016-05";"VV";"GM1";"1.39850915"
"2016-06";"B";"GM1";"577626"
"2016-06";"VV";"GM1";"1.62833783"
"2016-07";"B";"GM1";"584324"
"2016-07";"VV";"GM1";"2.40105989"
"2016-08";"B";"GM1";"587437"
"2016-08";"VV";"GM1";"2.64153383"
"2016-09";"B";"GM1";"586325"
"2016-09";"VV";"GM1";"2.97134207"
"2016-10";"B";"GM1";"590160"
"2016-10";"VV";"GM1";"6.37270099"
"2016-11";"B";"GM1";"592133"
"2016-11";"VV";"GM1";"5.53732633"
"2016-12";"B";"GM1";"594550"
"2016-12";"VV";"GM1";"6.30898356"
"2017-01";"B";"GM1";"596051"
"2017-01";"VV";"GM1";"6.14445452"
"2017-02";"B";"GM1";"598760"
"2017-02";"VV";"GM1";"6.04635676"
"2017-03";"B";"GM1";"603797"
"2017-03";"VV";"GM1";"5.2393344"
"2017-04";"B";"GM1";"605591"
"2017-04";"VV";"GM1";"5.57520689"
"2017-05";"B";"GM1";"615244"
"2017-05";"VV";"GM1";"6.72333192"
"2017-06";"B";"GM1";"615991"
"2017-06";"VV";"GM1";"6.64184091"
"2017-07";"B";"GM1";"620435"
"2017-07";"VV";"GM1";"6.1799618"
"2017-08";"B";"GM1";"625625"
"2017-08";"VV";"GM1";"6.50078221"
"2017-09";"B";"GM1";"626002"
"2017-09";"VV";"GM1";"6.76706605"
"2017-10";"B";"GM1";"632010"
"2017-10";"VV";"GM1";"7.09129728"
"2017-11";"B";"GM1";"638045"
"2017-11";"VV";"GM1";"7.75366345"
"2017-12";"B";"GM1";"637053"
"2017-12";"VV";"GM1";"7.14876798"
"2018-01";"B";"GM1";"640417"
"2018-01";"VV";"GM1";"7.4433228"
"2018-02";"B";"GM1";"643071"
"2018-02";"VV";"GM1";"7.40046095"
"2018-03";"B";"GM1";"645849"
"2018-03";"VV";"GM1";"6.9645924"
"2018-04";"B";"GM1";"647050"
"2018-04";"VV";"GM1";"6.84603965"
"2018-05";"B";"GM1";"650635"
"2018-05";"VV";"GM1";"5.75235191"
"2018-06";"B";"GM1";"647042"
"2018-06";"VV";"GM1";"5.0408204"
"2018-07";"B";"GM1";"652047"
"2018-07";"VV";"GM1";"5.09513487"
"2018-08";"B";"GM1";"656664"
"2018-08";"VV";"GM1";"4.96127872"
"2018-09";"B";"GM1";"656176"
"2018-09";"VV";"GM1";"4.8201124"
"2018-10";"B";"GM1";"662847"
"2018-10";"VV";"GM1";"4.87919495"
"2018-11";"B";"GM1";"669461"
"2018-11";"VV";"GM1";"4.92379064"
"2018-12";"B";"GM1";"671722"
"2018-12";"VV";"GM1";"5.44209038"
"2019-01";"B";"GM1";"672116"
"2019-01";"VV";"GM1";"4.94974368"
"2019-02";"B";"GM1";"675990"
"2019-02";"VV";"GM1";"5.1190304"
"2019-03";"B";"GM1";"679434"
"2019-03";"VV";"GM1";"5.20013192"
"2019-04";"B";"GM1";"680033"
"2019-04";"VV";"GM1";"5.09744224"
"2019-05";"B";"GM1";"684210"
"2019-05";"VV";"GM1";"5.16034336"
"2019-06";"B";"GM1";"680401"
"2019-06";"VV";"GM1";"5.15561586"
"2019-07";"B";"GM1";"682809"
"2019-07";"VV";"GM1";"4.71775808"
"2019-08";"B";"GM1";"683920"
"2019-08";"VV";"GM1";"4.15067675"
"2019-09";"B";"GM1";"679720"
"2019-09";"VV";"GM1";"3.58806174"
"2019-10";"B";"GM1";"678440"
"2019-10";"VV";"GM1";"2.35242824"
"2019-11";"B";"GM1";"678065"
"2019-11";"VV";"GM1";"1.28521303"
"2019-12";"B";"GM1";"675753"
"2019-12";"VV";"GM1";"0.60009945"
"2020-01";"B";"GM1";"671327"
"2020-01";"VV";"GM1";"-0.11739045"
"2020-02";"B";"GM1";"675258"
"2020-02";"VV";"GM1";"-0.10828563"
"2020-03";"B";"GM1";"692331"
"2020-03";"VV";"GM1";"1.89819762"
"2020-04";"B";"GM1";"699191"
"2020-04";"VV";"GM1";"2.81721622"
"2020-05";"B";"GM1";"707115"
"2020-05";"VV";"GM1";"3.34765642"
"2020-06";"B";"GM1";"710569"
"2020-06";"VV";"GM1";"4.43385592"
"2020-07";"B";"GM1";"714575"
"2020-07";"VV";"GM1";"4.65225268"
"2020-08";"B";"GM1";"718805"
"2020-08";"VV";"GM1";"5.10074278"
"2020-09";"B";"GM1";"718530"
"2020-09";"VV";"GM1";"5.709704"
"2020-10";"B";"GM1";"727186"
"2020-10";"VV";"GM1";"7.18501268"
"2020-11";"B";"GM1";"733209"
"2020-11";"VV";"GM1";"8.13255366"
"2020-12";"B";"GM1";"736570"
"2020-12";"VV";"GM1";"8.99988605"
"2021-01";"B";"GM1";"738328"
"2021-01";"VV";"GM1";"9.98038214"
"2021-02";"B";"GM1";"741276"
"2021-02";"VV";"GM1";"9.77670757"
"2021-03";"B";"GM1";"749424"
"2021-03";"VV";"GM1";"8.24648903"
"2021-04";"B";"GM1";"750220"
"2021-04";"VV";"GM1";"7.29829188"
"2021-05";"B";"GM1";"753566"
"2021-05";"VV";"GM1";"6.56908707"
"2021-06";"B";"GM1";"753060"
"2021-06";"VV";"GM1";"5.97985558"
"2021-07";"B";"GM1";"760957"
"2021-07";"VV";"GM1";"6.49085121"
"2021-08";"B";"GM1";"760393"
"2021-08";"VV";"GM1";"5.78571379"
"2021-09";"B";"GM1";"763412"
"2021-09";"VV";"GM1";"6.2463641"
"2021-10";"B";"GM1";"766793"
"2021-10";"VV";"GM1";"5.44661201"
"2021-11";"B";"GM1";"766898"
"2021-11";"VV";"GM1";"4.59473356"
"2021-12";"B";"GM1";"769725"
"2021-12";"VV";"GM1";"4.5012694"
"2022-01";"B";"GM1";"771158"
"2022-01";"VV";"GM1";"4.44653325"
"2022-02";"B";"GM1";"769749"
"2022-02";"VV";"GM1";"3.84107944"
"2022-03";"B";"GM1";"780952"
"2022-03";"VV";"GM1";"4.20696428"
"2022-04";"B";"GM1";"777551"
"2022-04";"VV";"GM1";"3.6430647"
"2022-05";"B";"GM1";"779183"
"2022-05";"VV";"GM1";"3.39943681"
"2022-06";"B";"GM1";"775870"
"2022-06";"VV";"GM1";"3.02897511"
"2022-07";"B";"GM1";"778238"
"2022-07";"VV";"GM1";"2.27095618"
